Code,Description
Y9932,Race - Mediterranean
9SAA.,Greek &/or Greek Cypriot (NMO)
9SAB.,Turkish &/or Turkish Cypriot (NMO)
9SAC.,Other European (NMO)
9T11.,New Zealand European
XE2Nz,Greek/Greek Cypriot (NMO)
XE2O0,Turkish/Turkish Cypriot (NMO)
XM1SF,Greek (NMO)
XM1SG,Greek Cypriot (NMO)
XM1SH,Turkish (NMO)
XM1SI,Turkish Cypriot (NMO)
XS7AU,Gypsies
XaFwF,Other white ethnic group
XaFx2,Irish traveller
XaIuh,White Scottish
XaJQx,Other White background - ethnic category 2001 census
XaJRC,English - ethnic category 2001 census
XaJRD,Scottish - ethnic category 2001 census
XaJRE,Welsh - ethnic category 2001 census
XaJRF,Northern Irish - ethnic category 2001 census
XaJRG,Cornish - ethnic category 2001 census
XaJRg,Cypriot (part not stated) - ethnic category 2001 census
XaJRh,Ulster Scots - ethnic category 2001 census
XaJRi,Greek - ethnic category 2001 census
XaJRj,Greek Cypriot - ethnic category 2001 census
XaJRk,Turkish - ethnic category 2001 census
XaJRl,Turkish Cypriot - ethnic category 2001 census
XaJRm,Italian - ethnic category 2001 census
XaJSB,Irish Traveller - ethnic category 2001 census
XaJSC,Traveller - ethnic category 2001 census
XaJSD,Gypsy/Romany - ethnic category 2001 census
XaJSE,Polish - ethnic category 2001 census
XaJSF,Baltic Estonian/Latvian/Lithuanian - ethn categ 2001 census
XaJSG,Commonwealth (Russian) Indep States - ethn categ 2001 census
XaJSH,Kosovan - ethnic category 2001 census
XaJSI,Albanian - ethnic category 2001 census
XaJSJ,Bosnian - ethnic category 2001 census
XaJSK,Croatian - ethnic category 2001 census
XaJSL,Serbian - ethnic category 2001 census
XaJSM,Other republics former Yugoslavia - ethnic categ 2001 census
XaJSO,Other mixed White - ethnic category 2001 census
XaJSP,Oth White European/European unsp/Mixed European 2001 census
XaJSQ,Other White or White unspecified ethnic category 2001 census
XaR4o,Romanian
XaR4p,Bulgarian
XaR61,Czech
XaVw5,Slovak
XaW8w,Portuguese
XactJ,White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census
XactK,White: other White backgrd- Eng+Wales ethnic cat 2011 census
XacuQ,White - Northern Ireland ethnic category 2011 census
XacuR,Irish Traveller - Northern Ireland ethnic cat 2011 census
Xacus,White: Scottish - Scotland ethnic category 2011 census
Xacut,White: other British - Scotland ethnic category 2011 census
Xacuv,White: Gypsy/Irish Traveller - Scotland ethnic cat 2011 cens
Xacux,White: Polish - Scotland ethnic category 2011 census
Xacuy,White: other White ethnic grp- Scotland ethnic cat 2011 cens
XaedN,Slovak Roma
XaedQ,Czech Roma
XaedS,Hungarian Roma
XaedT,Polish Roma
XaedU,Romanian Roma
XaedV,Roma ethnic group
XaedW,Bulgarian Roma
Y1527,Traveller
