snomedcode,Ethnicity,group
87323008,Nez Percé,3
89001000000105,Arab - ethnic category 2001 census,3
89011000000107,Iranian - ethnic category 2001 census,3
89021000000101,South and Central American - ethnic category 2001 census,3
89026003,Alacaluf,3
90027003,Arabs,3
91488008,New Britons,3
92521000000101,Other - ethnic category 2001 census,3
94071000000100,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census",3
94081000000103,Israeli - ethnic category 2001 census,3
94091000000101,Kurdish - ethnic category 2001 census,3
94101000000109,Moroccan - ethnic category 2001 census,3
94111000000106,Latin American - ethnic category 2001 census,3
94121000000100,Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census,3
94151000000105,Any other group - ethnic category 2001 census,3
976951000000102,Other ethnic group: Arab - England and Wales ethnic category 2011 census,3
976961000000104,Other ethnic group: Arab - England and Wales ethnic category 2011 census,3
976971000000106,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,3
976981000000108,Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census,3
977851000000109,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,3
977861000000107,Other ethnic group: Arab - Northern Ireland ethnic category 2011 census,3
977871000000100,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,3
977881000000103,Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census,3
978381000000105,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",3
978391000000107,"Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census",3
978401000000105,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,3
978411000000107,Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census,3
154181004,Chinese,3
154224002,Chinese,3
186004002,Chinese,3
33897005,Chinese,3
92511000000107,Chinese - ethnic category 2001 census,3
976851000000107,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,3
977751000000101,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,3
978191000000109,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,3
976861000000105,Asian or Asian British: Chinese - England and Wales ethnic category 2011 census,3
977761000000103,Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census,3
978201000000106,Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census,3
110791000000100,Black British - ethnic category 2001 census,3
15086000,African American,3
154166005,"Black, other, non-mixed origin",3
154167001,Black British,3
154169003,Black N African &/or Arab &/or Iranian,3
154171003,Black E Afric Asia &/or Indo-Caribb,3
154172005,Black Indian sub-continent,3
154173000,Black - other Asian,3
154174006,Black Black - other,3
154206004,Other black ethnic group,3
185989004,"Black, other, non-mixed origin",3
185990008,Black British,3
185992000,Black N African &/or Arab &/or Iranian,3
185994004,Black E Afric Asia &/or Indo-Caribb,3
185995003,Black Indian sub-continent,3
185996002,Black - other Asian,3
185997006,Black Black - other,3
186029008,Other black ethnic group,3
270461001,Black N African/Arab/Iranian,3
270462008,Black East African Asian/Indo-Caribbean,3
275587000,Black Arab,3
275588005,Black Iranian,3
